"lon","lat","datetime","accuracy","speed"
2.383703,48.8619816,"2014-05-09 16:34:38",26.386999130249,NA
2.3837948,48.862004,"2014-05-09 16:35:19",17.1959991455078,NA
2.3098711,48.8723814,"2014-05-09 17:06:18",27,NA
2.309977,48.8721147,"2014-05-09 17:06:34",15.6319999694824,NA
2.3100645,48.8718875,"2014-05-09 17:06:38",12.1389999389648,NA
2.3100969,48.8718046,"2014-05-09 17:06:48",10.9989995956421,NA
2.3101304,48.8717229,"2014-05-09 17:06:58",10,NA
2.3101511,48.871666,"2014-05-09 17:07:08",10,NA
2.3101461,48.8716171,"2014-05-09 17:07:45",10,NA
2.3101001,48.871574,"2014-05-09 17:08:15",10,NA
2.3100514,48.8715378,"2014-05-09 17:08:35",10,NA
2.3099899,48.8715058,"2014-05-09 17:08:50",10,NA
2.3099318,48.8714759,"2014-05-09 17:09:00",10,NA
2.3086617,48.8709674,"2014-05-09 17:09:33",11.5459995269775,NA
2.3085697,48.870932,"2014-05-09 17:10:28",10,NA
2.3072056,48.8702231,"2014-05-09 17:11:09",26.4050006866455,NA
2.3071546,48.8701393,"2014-05-09 17:11:18",19.8209991455078,NA
2.3070188,48.8701182,"2014-05-09 17:11:38",14.4820003509521,NA
2.3068604,48.8701347,"2014-05-09 17:11:48",12.4139995574951,NA
2.3067773,48.870147,"2014-05-09 17:11:58",11.4709997177124,NA
2.3066763,48.8701642,"2014-05-09 17:12:08",10.3579998016357,NA
2.3065703,48.870192,"2014-05-09 17:12:28",10,NA
2.3064917,48.8702129,"2014-05-09 17:12:49",10,NA
2.3050916,48.8706902,"2014-05-09 17:13:13",16.1389999389648,NA
2.3050634,48.8707358,"2014-05-09 17:14:33",10,NA
2.2628451,48.8839949,"2014-05-09 17:56:05",59.4710006713867,NA
2.2542036,48.8877139,"2014-05-09 17:56:15",50.2299995422363,NA
2.2531702,48.8867902,"2014-05-09 17:56:46",25.1140003204346,NA
2.2285147,48.894416,"2014-05-09 17:57:55",1880,NA
2.1790076,48.9125065,"2014-05-09 18:01:17",48,NA
2.1675584,48.9126947,"2014-05-09 18:01:40",17,24.25
2.1672164,48.9127505,"2014-05-09 18:01:41",12,24
2.1668835,48.9127697,"2014-05-09 18:01:42",10,23.5
2.1662511,48.9128297,"2014-05-09 18:01:44",11,23.5
2.1657301,48.9128948,"2014-05-09 18:01:46",7,20.75
2.1790075,48.9125066,"2014-05-09 18:02:07",21.4659996032715,NA
2.144859,48.9144978,"2014-05-09 18:02:37",1029,NA
2.11162,48.9153434,"2014-05-09 18:04:47",1408,NA
2.0915216,48.9120227,"2014-05-09 18:05:12",1643,NA
2.0717947,48.9086817,"2014-05-09 18:06:53",1637,NA
2.0673865,48.9084426,"2014-05-09 18:07:04",942,NA
2.0662843,48.9083828,"2014-05-09 18:07:53",942,NA
2.0644477,48.9082833,"2014-05-09 18:08:03",942,NA
2.0516299,48.9101255,"2014-05-09 18:08:18",638,NA
2.0436524,48.9134078,"2014-05-09 18:08:24",18,27.5
2.0432824,48.9135714,"2014-05-09 18:08:25",15,27.0046291351318
2.0431408,48.9136955,"2014-05-09 18:08:26",15,26.5
2.0425113,48.9138266,"2014-05-09 18:08:28",9,27
2.0418311,48.9140811,"2014-05-09 18:08:30",5,27
2.0411767,48.9143122,"2014-05-09 18:08:32",4,27.25
